state,region,Confirmed Program,Program Category,Subcategory,prisons_tot
MI,North Central,1,Horticulture,other: horticultural therapy,1
MI,North Central,1,Horticulture,other: pesticide management,1
MI,North Central,1,Horticulture,other: vegetable and flower starters,1
MI,North Central,1,Other,farmers market,1
MI,North Central,1,Other,food technology,9
MN,North Central,1,Animal Agriculture,beekeeping,2
MN,North Central,1,Animal Agriculture,other: butterfly hatchery,1
MN,North Central,1,Crops,orchard,3
MN,North Central,1,Food Production,other: honey production,1
MN,North Central,1,Horticulture,composting,2
MN,North Central,1,Horticulture,flower garden,2
MN,North Central,1,Horticulture,garden,7
MN,North Central,1,Horticulture,greenhouse,1
MN,North Central,1,Horticulture,horticulture program,1
MN,North Central,1,Horticulture,other: aquaponics,1
MN,North Central,1,Horticulture,other: hydroponics,1
MN,North Central,1,Horticulture,pollinator garden,2
MN,North Central,1,Horticulture,pollinator habitat,1
MO,North Central,1,Animal Agriculture,beekeeping,1
MO,North Central,1,Animal Agriculture,other: eggs,1
MO,North Central,1,Crops,orchard,1
MO,North Central,1,Food Production,food processing,2
MO,North Central,1,Horticulture,arboriculture,1
MO,North Central,1,Horticulture,composting,2
MO,North Central,1,Horticulture,flower garden,1
MO,North Central,1,Horticulture,garden,22
MO,North Central,1,Horticulture,greenhouse,8
MO,North Central,1,Horticulture,horticulture program,1
MO,North Central,1,Horticulture,landscaping,4
MO,North Central,1,Horticulture,pest management,4
MO,North Central,1,Horticulture,pollinator garden,1
MO,North Central,1,Other,other: mealpacking and donation,1
MS,South,1,Crops,crops,2
MS,South,1,Horticulture,garden,1
MS,South,1,Horticulture,horticulture program,3
MS,South,1,Horticulture,landscaping,1
MT,West,1,Horticulture,unspecified horticulture,1
NC,South,1,Crops,crops,8
NC,South,1,Food Production,cannery,1
NC,South,1,Food Production,food processing,1
NC,South,1,Food Production,meat processing,1
NC,South,1,Horticulture,flower garden,2
NC,South,1,Horticulture,garden,1
NC,South,1,Horticulture,greenhouse,1
NC,South,1,Horticulture,horticulture program,21
ND,North Central,1,Horticulture,garden,3
NE,North Central,1,Horticulture,flower garden,3
NE,North Central,1,Horticulture,garden,4
NE,North Central,1,Horticulture,pollinator habitat,1
NE,North Central,1,Other,gardening enterprise course,1
NH,Northeast,1,Horticulture,garden,1
NJ,Northeast,1,Animal Agriculture,dairy,1
NJ,Northeast,1,Animal Agriculture,livestock,2
NJ,Northeast,1,Crops,crops,1
NJ,Northeast,1,Food Production,food processing,1
NJ,Northeast,1,Food Production,meat processing,1
NJ,Northeast,1,Horticulture,flower garden,1
NJ,Northeast,1,Horticulture,greenhouse,1
NJ,Northeast,1,Horticulture,horticulture program,2
NJ,Northeast,1,Horticulture,horticulture vocational training,5
NJ,Northeast,1,Horticulture,landscaping,6
NJ,Northeast,1,Horticulture,other,1
NJ,Northeast,1,Horticulture,pesticide applicator,5
NJ,Northeast,1,Horticulture,unspecified horticulture,1
NM,West,1,Horticulture,greenhouse,1
NV,West,1,Animal Agriculture,livestock,1
NV,West,1,Crops,crops,2
NV,West,1,Crops,other: plant science,1
NV,West,1,Horticulture,garden,1
NV,West,1,Horticulture,landscaping,2
NV,West,1,Horticulture,other: horticultural class,1
NV,West,1,Horticulture,unspecified horticulture,1
NY,Northeast,1,Animal Agriculture,livestock,1
NY,Northeast,1,Horticulture,garden,1
NY,Northeast,1,Horticulture,unspecified horticulture,29
OH,North Central,1,Animal Agriculture,beekeeping,2
OH,North Central,1,Animal Agriculture,livestock,12
OH,North Central,1,Food Production,coffee and tea,1
OH,North Central,1,Food Production,meat processing,1
OH,North Central,1,Food Production,unspecified food production,3
OH,North Central,1,Horticulture,composting,1
OH,North Central,1,Horticulture,garden,4
OH,North Central,1,Horticulture,landscaping,9
OH,North Central,1,Horticulture,other,1
OH,North Central,1,Horticulture,turf management,1
OH,North Central,1,Horticulture,unspecified horticulture,9
OH,North Central,1,Other,food bank,2
OH,North Central,1,Other,nutrition education,1
OK,South,1,Animal Agriculture,livestock,10
OK,South,1,Crops,crops,8
OK,South,1,Crops,firewood,1
OK,South,1,Crops,orchard,1
OK,South,1,Crops,other,1
OK,South,1,Food Production,dairy processing,1
OK,South,1,Food Production,food processing,1
OK,South,1,Food Production,meat processing,1
OK,South,1,Horticulture,flower garden,1
OK,South,1,Horticulture,garden,2
OK,South,1,Horticulture,greenhouse,1
OK,South,1,Horticulture,horticulture therapy,2
OK,South,1,Horticulture,unspecified horticulture,1
OK,South,1,Other,dry goods warehouse,1
OK,South,1,Other,farm or ranch?,2
OK,South,1,Other,feed mill,1
OK,South,1,Other,firewood,5
OK,South,1,Other,leather shop,1
OK,South,1,Other,opportunity food buy program,1
OK,South,1,Other,opportunity food buys warehouse,1
OK,South,1,Other,sawmill,1
OR,West,1,Animal Agriculture,beekeeping,1
OR,West,1,Crops,silviculture,1
OR,West,1,Horticulture,garden,5
OR,West,1,Horticulture,landscaping,3
OR,West,1,Horticulture,master gardener class,1
OR,West,1,Other,farm or ranch?,7
PA,Northeast,1,Animal Agriculture,livestock,3
PA,Northeast,1,Crops,crops,1
PA,Northeast,1,Crops,silviculture,1
PA,Northeast,1,Horticulture,arboriculture training,1
PA,Northeast,1,Horticulture,composting,1
PA,Northeast,1,Horticulture,garden,6
PA,Northeast,1,Horticulture,greenhouse,1
PA,Northeast,1,Horticulture,horticulture vocational training,3
PA,Northeast,1,Horticulture,landscaping,2
PA,Northeast,1,Horticulture,other,1
PA,Northeast,1,Horticulture,unspecified horticulture,1
PA,Northeast,1,Other,riparian buffer vocational training project,1
RI,Northeast,1,Horticulture,flower garden,1
RI,Northeast,1,Horticulture,garden,1
SC,South,1,Animal Agriculture,beekeeping,7
SC,South,1,Animal Agriculture,dairy,1
SC,South,1,Animal Agriculture,livestock,1
SC,South,1,Animal Agriculture,poultry,1
SC,South,1,Crops,crops,3
SC,South,1,Crops,silviculture,1
SC,South,1,Horticulture,greenhouse,16
SC,South,1,Horticulture,horticulture program,17
SD,North Central,1,Horticulture,garden,2
TN,South,1,Animal Agriculture,dairy,1
TN,South,1,Crops,crops,2
TN,South,1,Horticulture,garden,2
TN,South,1,Horticulture,greenhouse,1
TN,South,1,Horticulture,horticulture vocational training,1
TN,South,1,Horticulture,unspecified horticulture,1
TX,South,1,Animal Agriculture,beekeeping,2
TX,South,1,Animal Agriculture,livestock,63
TX,South,1,Crops,crops,46
TX,South,1,Crops,orchard,1
