ID.PrisonAg,Confirmed_Activities,Activity_Category,Activity_Subcategory
741,1,Horticulture & Landscaping,Garden
741,1,Horticulture & Landscaping,Landscaping
741,1,Horticulture & Landscaping,Greenhouse
742,1,Horticulture & Landscaping,Garden
742,1,Horticulture & Landscaping,Greenhouse
742,1,Horticulture & Landscaping,Landscaping
743,1,Horticulture & Landscaping,Horticulture Program
744,1,Horticulture & Landscaping,Landscaping
745,1,Horticulture & Landscaping,Garden
745,1,Horticulture & Landscaping,Greenhouse
747,1,Horticulture & Landscaping,Garden
755,1,Horticulture & Landscaping,Horticulture Program
755,1,Animal Agriculture,Dairy
755,1,Food Processing & Production,Dairy Processing
756,1,Horticulture & Landscaping,Horticulture Program
757,1,Horticulture & Landscaping,Greenhouse
757,1,Horticulture & Landscaping,Flowers
759,1,Horticulture & Landscaping,Horticulture Program
759,1,Horticulture & Landscaping,Landscaping
759,1,Horticulture & Landscaping,Pest Management
759,1,Animal Agriculture,Dairy
759,1,Food Processing & Production,Dairy Processing
763,1,Horticulture & Landscaping,Horticulture Program
763,1,Horticulture & Landscaping,Landscaping
763,1,Horticulture & Landscaping,Pest Management
763,1,Food Processing & Production,Food Processing
763,1,Food Processing & Production,Meat Processing
764,1,Horticulture & Landscaping,Horticulture Program
764,1,Horticulture & Landscaping,Landscaping
764,1,Horticulture & Landscaping,Pest Management
765,1,Horticulture & Landscaping,Horticulture Program
769,1,Horticulture & Landscaping,Horticulture Program
770,1,Horticulture & Landscaping,Horticulture Program
771,1,Horticulture & Landscaping,Horticulture Program
772,1,Horticulture & Landscaping,Horticulture Program
774,1,Horticulture & Landscaping,Horticulture Program
781,1,Horticulture & Landscaping,Horticulture Program
782,1,Horticulture & Landscaping,Horticulture Program
783,1,Horticulture & Landscaping,Horticulture Program
784,1,Horticulture & Landscaping,Horticulture Program
785,1,Horticulture & Landscaping,Horticulture Program
788,1,Horticulture & Landscaping,Horticulture Program
789,1,Horticulture & Landscaping,Horticulture Program
790,1,Horticulture & Landscaping,Garden
791,1,Horticulture & Landscaping,Horticulture Program
792,1,Horticulture & Landscaping,Horticulture Program
793,1,Horticulture & Landscaping,Horticulture Program
794,1,Horticulture & Landscaping,Horticulture Program
800,1,Horticulture & Landscaping,Horticulture Program
807,1,Horticulture & Landscaping,Horticulture Program
809,1,Horticulture & Landscaping,Horticulture Program
809,1,Animal Agriculture,Equine
810,1,Horticulture & Landscaping,Horticulture Program
811,1,Horticulture & Landscaping,Horticulture Program
813,1,Horticulture & Landscaping,Horticulture Program
815,1,Horticulture & Landscaping,Horticulture Program
816,1,Horticulture & Landscaping,Horticulture Program
816,1,Horticulture & Landscaping,Composting
817,1,Horticulture & Landscaping,Horticulture Program
817,1,Horticulture & Landscaping,Landscaping
817,1,Horticulture & Landscaping,Composting
818,1,Horticulture & Landscaping,Landscaping
818,1,Food Processing & Production,Unspecified Food Production
819,1,Horticulture & Landscaping,Landscaping
819,1,Horticulture & Landscaping,Horticulture Program
820,1,Horticulture & Landscaping,Landscaping
821,1,Horticulture & Landscaping,Landscaping
823,1,Horticulture & Landscaping,Horticulture Program
824,1,Horticulture & Landscaping,Landscaping
824,1,Food Processing & Production,Unspecified Food Production
825,1,Horticulture & Landscaping,Landscaping
826,1,Animal Agriculture,Beekeeping
827,1,Horticulture & Landscaping,Horticulture Program
828,1,Horticulture & Landscaping,Horticulture Program
828,1,Horticulture & Landscaping,Landscaping
828,1,Horticulture & Landscaping,Garden
829,1,Horticulture & Landscaping,Garden
830,1,Horticulture & Landscaping,Garden
831,1,Horticulture & Landscaping,Horticulture Program
832,1,Horticulture & Landscaping,Horticulture Program
832,1,Horticulture & Landscaping,Landscaping
833,1,Horticulture & Landscaping,Landscaping
834,1,Food Processing & Production,Meat Processing
835,1,Horticulture & Landscaping,Turf Management
840,1,Horticulture & Landscaping,Horticulture Program
840,1,Horticulture & Landscaping,Garden
840,1,Horticulture & Landscaping,Composting
840,1,Horticulture & Landscaping,Landscaping
840,1,Animal Agriculture,Beekeeping
840,1,Animal Agriculture,Aquaculture
840,1,Food Processing & Production,Unspecified Food Production
841,1,Horticulture & Landscaping,Horticulture Program
842,1,Horticulture & Landscaping,Garden
843,1,Horticulture & Landscaping,Horticulture Program
844,1,Horticulture & Landscaping,Garden
844,1,Horticulture & Landscaping,Greenhouse
844,1,Horticulture & Landscaping,Flowers
846,1,Horticulture & Landscaping,Garden
848,1,Horticulture & Landscaping,Garden
848,1,Crops & Silviculture,Orchard
848,1,Crops & Silviculture,Firewood
848,1,Crops & Silviculture,Crops
848,1,Animal Agriculture,Livestock
849,1,Crops & Silviculture,Crops
849,1,Animal Agriculture,Livestock
849,1,Animal Agriculture,Dairy
849,1,Animal Agriculture,Eggs
849,1,Food Processing & Production,Dairy Processing
849,1,Food Processing & Production,Meat Processing
849,1,Food Processing & Production,Feed Mill
850,1,Horticulture & Landscaping,Horticulture Program
850,1,Crops & Silviculture,Crops
850,1,Animal Agriculture,Livestock
850,1,Food Processing & Production,Food Processing
850,1,Food Processing & Production,Food Distribution
851,1,Crops & Silviculture,Crops
851,1,Animal Agriculture,Livestock
853,1,Crops & Silviculture,Crops
853,1,Crops & Silviculture,Firewood
853,1,Animal Agriculture,Livestock
853,1,Food Processing & Production,Food Distribution
857,1,Crops & Silviculture,Firewood
857,1,Animal Agriculture,Livestock
858,1,Horticulture & Landscaping,Garden
859,1,Crops & Silviculture,Crops
859,1,Animal Agriculture,Livestock
860,1,Crops & Silviculture,Crops
860,1,Crops & Silviculture,Firewood
860,1,Animal Agriculture,Livestock
860,1,Animal Agriculture,Equine
863,1,Crops & Silviculture,Crops
863,1,Crops & Silviculture,Firewood
863,1,Animal Agriculture,Livestock
866,1,Horticulture & Landscaping,Garden
866,1,Crops & Silviculture,Crops
866,1,Crops & Silviculture,Firewood
866,1,Animal Agriculture,Livestock
867,1,Horticulture & Landscaping,Garden
867,1,Horticulture & Landscaping,Pollinator Garden
867,1,Horticulture & Landscaping,Flowers
867,1,Animal Agriculture,Butterfly Hatchery
868,1,Horticulture & Landscaping,Master Gardener Class
868,1,Horticulture & Landscaping,Garden
869,1,Horticulture & Landscaping,Garden
870,1,Horticulture & Landscaping,Garden
870,1,Horticulture & Landscaping,Composting
870,1,Animal Agriculture,Beekeeping
871,1,Horticulture & Landscaping,Garden
872,1,Horticulture & Landscaping,Garden
872,1,Horticulture & Landscaping,Greenhouse
873,1,Horticulture & Landscaping,Garden
874,1,Horticulture & Landscaping,Landscaping
874,1,Horticulture & Landscaping,Garden
875,1,Horticulture & Landscaping,Garden
876,1,Horticulture & Landscaping,Landscaping
876,1,Horticulture & Landscaping,Garden
877,1,Horticulture & Landscaping,Garden
877,1,Horticulture & Landscaping,Greenhouse
877,1,Horticulture & Landscaping,Sagebrush Cultivation
878,1,Horticulture & Landscaping,Garden
878,1,Crops & Silviculture,Silviculture
879,1,Horticulture & Landscaping,Landscaping
879,1,Horticulture & Landscaping,Garden
880,1,Horticulture & Landscaping,Greenhouse
880,1,Horticulture & Landscaping,Garden
880,1,Horticulture & Landscaping,Sagebrush Cultivation
883,1,Horticulture & Landscaping,Garden
887,1,Horticulture & Landscaping,Horticulture Program
887,1,Horticulture & Landscaping,Composting
887,1,Horticulture & Landscaping,Horticulture Program
887,1,Horticulture & Landscaping,Garden
893,1,Horticulture & Landscaping,Horticulture Program
893,1,Horticulture & Landscaping,Landscaping
893,1,Animal Agriculture,Livestock
895,1,Horticulture & Landscaping,Garden
896,1,Horticulture & Landscaping,Horticulture Program
898,1,Animal Agriculture,Livestock
899,1,Horticulture & Landscaping,Landscaping
901,1,Horticulture & Landscaping,Garden
902,1,Horticulture & Landscaping,Greenhouse
902,1,Horticulture & Landscaping,Garden
902,1,Horticulture & Landscaping,Arboriculture Training
902,1,Crops & Silviculture,Crops
902,1,Crops & Silviculture,Silviculture
902,1,Animal Agriculture,Livestock
904,1,Horticulture & Landscaping,Garden
906,1,Horticulture & Landscaping,Garden
906,1,Animal Agriculture,Livestock
906,1,Horticulture & Landscaping,Garden
906,1,Animal Agriculture,Livestock
907,1,Horticulture & Landscaping,Garden
907,1,Crops & Silviculture,Crops
907,1,Animal Agriculture,Livestock
907,1,Food Processing & Production,Feed Mill
908,1,Horticulture & Landscaping,Horticulture Program
908,1,Horticulture & Landscaping,Garden
909,1,Crops & Silviculture,Crops
910,1,Crops & Silviculture,Crops
911,1,Crops & Silviculture,Crops
911,1,Animal Agriculture,Livestock
913,1,Horticulture & Landscaping,Garden
913,1,Crops & Silviculture,Crops
913,1,Animal Agriculture,Livestock
914,1,Horticulture & Landscaping,Garden
914,1,Crops & Silviculture,Crops
914,1,Animal Agriculture,Livestock
915,1,Horticulture & Landscaping,Garden
915,1,Crops & Silviculture,Crops
915,1,Animal Agriculture,Livestock
916,1,Horticulture & Landscaping,Garden
917,1,Crops & Silviculture,Crops
917,1,Animal Agriculture,Livestock
918,1,Horticulture & Landscaping,Garden
918,1,Animal Agriculture,Livestock
919,1,Crops & Silviculture,Crops
919,1,Animal Agriculture,Livestock
920,1,Crops & Silviculture,Crops
920,1,Animal Agriculture,Livestock
922,1,Horticulture & Landscaping,Garden
923,1,Crops & Silviculture,Crops
923,1,Animal Agriculture,Livestock
923,1,Food Processing & Production,Feed Mill
924,1,Horticulture & Landscaping,Garden
924,1,Crops & Silviculture,Crops
924,1,Animal Agriculture,Livestock
924,1,Animal Agriculture,Beekeeping
925,1,Crops & Silviculture,Crops
925,1,Animal Agriculture,Livestock
926,1,Crops & Silviculture,Crops
926,1,Animal Agriculture,Livestock
927,1,Horticulture & Landscaping,Garden
927,1,Crops & Silviculture,Crops
927,1,Animal Agriculture,Livestock
928,1,Horticulture & Landscaping,Garden
929,1,Horticulture & Landscaping,Garden
929,1,Animal Agriculture,Livestock
930,1,Horticulture & Landscaping,Garden
931,1,Horticulture & Landscaping,Garden
931,1,Animal Agriculture,Livestock
932,1,Horticulture & Landscaping,Garden
932,1,Crops & Silviculture,Crops
932,1,Animal Agriculture,Livestock
933,1,Horticulture & Landscaping,Garden
933,1,Crops & Silviculture,Crops
933,1,Animal Agriculture,Livestock
934,1,Animal Agriculture,Livestock
935,1,Horticulture & Landscaping,Garden
935,1,Crops & Silviculture,Crops
935,1,Animal Agriculture,Livestock
935,1,Food Processing & Production,Feed Mill
936,1,Animal Agriculture,Livestock
937,1,Horticulture & Landscaping,Garden
938,1,Horticulture & Landscaping,Garden
938,1,Animal Agriculture,Livestock
939,1,Horticulture & Landscaping,Garden
939,1,Animal Agriculture,Livestock
940,1,Horticulture & Landscaping,Garden
940,1,Animal Agriculture,Livestock
941,1,Horticulture & Landscaping,Garden
941,1,Crops & Silviculture,Crops
941,1,Animal Agriculture,Livestock
942,1,Crops & Silviculture,Crops
942,1,Crops & Silviculture,Orchard
942,1,Animal Agriculture,Livestock
943,1,Horticulture & Landscaping,Garden
944,1,Crops & Silviculture,Crops
944,1,Animal Agriculture,Livestock
946,1,Horticulture & Landscaping,Garden
946,1,Crops & Silviculture,Crops
946,1,Animal Agriculture,Livestock
948,1,Horticulture & Landscaping,Garden
949,1,Animal Agriculture,Livestock
950,1,Horticulture & Landscaping,Garden
950,1,Animal Agriculture,Livestock
952,1,Horticulture & Landscaping,Garden
952,1,Crops & Silviculture,Crops
953,1,Horticulture & Landscaping,Garden
953,1,Crops & Silviculture,Crops
953,1,Animal Agriculture,Livestock
954,1,Animal Agriculture,Livestock
955,1,Horticulture & Landscaping,Garden
955,1,Animal Agriculture,Livestock
956,1,Horticulture & Landscaping,Garden
956,1,Crops & Silviculture,Crops
956,1,Animal Agriculture,Livestock
957,1,Horticulture & Landscaping,Garden
957,1,Crops & Silviculture,Crops
957,1,Animal Agriculture,Livestock
959,1,Horticulture & Landscaping,Garden
960,1,Horticulture & Landscaping,Garden
961,1,Horticulture & Landscaping,Garden
961,1,Animal Agriculture,Livestock
962,1,Horticulture & Landscaping,Garden
962,1,Crops & Silviculture,Crops
962,1,Animal Agriculture,Livestock
962,1,Food Processing & Production,Feed Mill
963,1,Horticulture & Landscaping,Garden
963,1,Animal Agriculture,Livestock
964,1,Horticulture & Landscaping,Garden
964,1,Crops & Silviculture,Crops
965,1,Horticulture & Landscaping,Garden
965,1,Crops & Silviculture,Crops
965,1,Animal Agriculture,Livestock
966,1,Horticulture & Landscaping,Garden
966,1,Crops & Silviculture,Crops
966,1,Animal Agriculture,Livestock
967,1,Horticulture & Landscaping,Garden
967,1,Crops & Silviculture,Crops
967,1,Animal Agriculture,Livestock
968,1,Horticulture & Landscaping,Garden
968,1,Food Processing & Production,Meat Processing
969,1,Horticulture & Landscaping,Garden
970,1,Horticulture & Landscaping,Garden
970,1,Crops & Silviculture,Crops
970,1,Animal Agriculture,Livestock
971,1,Horticulture & Landscaping,Garden
971,1,Animal Agriculture,Livestock
972,1,Horticulture & Landscaping,Garden
972,1,Crops & Silviculture,Silviculture
972,1,Animal Agriculture,Livestock
973,1,Horticulture & Landscaping,Garden
973,1,Crops & Silviculture,Crops
973,1,Animal Agriculture,Livestock
973,1,Food Processing & Production,Feed Mill
974,1,Crops & Silviculture,Crops
974,1,Animal Agriculture,Livestock
975,1,Horticulture & Landscaping,Garden
975,1,Crops & Silviculture,Crops
975,1,Animal Agriculture,Livestock
976,1,Horticulture & Landscaping,Garden
976,1,Crops & Silviculture,Crops
976,1,Animal Agriculture,Livestock
977,1,Horticulture & Landscaping,Garden
978,1,Horticulture & Landscaping,Garden
979,1,Crops & Silviculture,Crops
979,1,Animal Agriculture,Livestock
980,1,Crops & Silviculture,Crops
980,1,Animal Agriculture,Livestock
980,1,Animal Agriculture,Beekeeping
981,1,Horticulture & Landscaping,Garden
981,1,Crops & Silviculture,Crops
981,1,Animal Agriculture,Livestock
982,1,Horticulture & Landscaping,Garden
983,1,Horticulture & Landscaping,Garden
983,1,Crops & Silviculture,Crops
983,1,Animal Agriculture,Livestock
984,1,Horticulture & Landscaping,Garden
984,1,Animal Agriculture,Livestock
985,1,Horticulture & Landscaping,Garden
985,1,Animal Agriculture,Livestock
986,1,Crops & Silviculture,Crops
986,1,Animal Agriculture,Livestock
986,1,Food Processing & Production,Cannery
987,1,Horticulture & Landscaping,Garden
987,1,Crops & Silviculture,Crops
987,1,Animal Agriculture,Livestock
988,1,Crops & Silviculture,Crops
988,1,Animal Agriculture,Livestock
988,1,Food Processing & Production,Cannery
989,1,Horticulture & Landscaping,Garden
989,1,Animal Agriculture,Livestock
990,1,Horticulture & Landscaping,Garden
991,1,Horticulture & Landscaping,Garden
992,1,Horticulture & Landscaping,Garden
992,1,Crops & Silviculture,Crops
992,1,Animal Agriculture,Livestock
993,1,Horticulture & Landscaping,Garden
993,1,Crops & Silviculture,Crops
993,1,Animal Agriculture,Livestock
994,1,Horticulture & Landscaping,Garden
994,1,Animal Agriculture,Livestock
995,1,Horticulture & Landscaping,Garden
996,1,Horticulture & Landscaping,Garden
996,1,Crops & Silviculture,Crops
996,1,Animal Agriculture,Livestock
1040,1,Horticulture & Landscaping,Garden
